               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097427,            0.049709,            0.031793,             0.54043,             0.24233,              0.1481,            0.042636,            0.073707,            0.039817,            0.023803,             0.00118,             0.00118,             0.08938
                   1,            0.067951,            0.045051,              0.0222,             0.55935,             0.26226,              0.2007,            0.062501,            0.064978,            0.032424,            0.017909,           0.0023569,           0.0023569,            0.078657
                   2,             0.06148,             0.04152,            0.016208,             0.34924,              0.5173,             0.37543,             0.15992,            0.053487,            0.030405,            0.010828,           0.0034816,           0.0034816,            0.067882
                   3,            0.057037,            0.040766,            0.011838,             0.37993,             0.51602,             0.37048,             0.16101,             0.05173,            0.030271,           0.0082886,            0.004517,            0.004517,            0.057017
                   4,            0.055536,            0.038576,            0.010181,             0.34773,             0.56118,             0.37241,             0.14619,            0.051159,            0.028126,           0.0069111,           0.0054295,           0.0054295,             0.04603
                   5,            0.051579,            0.037931,           0.0090574,             0.51522,             0.64091,             0.53196,             0.27939,            0.043601,             0.02772,           0.0062712,           0.0061903,           0.0061903,             0.03489
                   6,            0.048805,            0.037142,           0.0083096,             0.48254,             0.61999,             0.48987,             0.23353,            0.045369,            0.027442,           0.0055882,           0.0067767,           0.0067767,            0.023577
                   7,            0.048808,            0.037177,            0.007658,             0.54265,             0.64843,             0.55974,             0.28445,            0.042824,            0.027983,           0.0058709,           0.0071734,           0.0071734,            0.012073
                   8,            0.044798,            0.037334,           0.0075322,             0.58018,             0.63217,             0.55826,             0.28722,            0.040549,            0.028229,           0.0057331,           0.0068906,           0.0068906,           0.0068906
                   9,            0.043436,             0.03741,           0.0069874,             0.61721,             0.66062,              0.5935,             0.30977,            0.039781,            0.026616,           0.0048942,           0.0068906,           0.0068906,           0.0068906
                  10,            0.041308,            0.036559,           0.0067753,             0.62168,              0.6938,             0.61783,             0.33796,            0.037916,            0.026018,           0.0044475,            0.006204,            0.006204,            0.006204
                  11,             0.03818,             0.03646,           0.0062102,             0.62122,             0.71486,             0.64022,              0.3511,            0.037354,            0.025185,           0.0040403,              0.0055,              0.0055,              0.0055
                  12,            0.037821,            0.035935,           0.0053632,             0.64965,             0.72448,             0.65382,             0.35266,            0.036924,            0.025253,           0.0036867,            0.004796,            0.004796,            0.004796
                  13,            0.036364,            0.034777,           0.0052345,             0.65948,             0.73869,             0.67796,             0.37991,            0.034726,            0.024864,           0.0035566,           0.0041094,           0.0041094,           0.0041094
                  14,            0.035052,              0.0344,           0.0049358,             0.69753,             0.76595,             0.70835,             0.40759,            0.032882,            0.023658,           0.0028269,            0.003457,            0.003457,            0.003457
                  15,            0.033867,            0.033226,           0.0045126,             0.71578,             0.76899,             0.71599,             0.42555,            0.031962,            0.022874,           0.0024965,            0.002855,            0.002855,            0.002855
                  16,             0.03254,            0.033298,           0.0042442,             0.72816,             0.77424,             0.73205,               0.442,            0.031158,            0.022661,           0.0022771,            0.002318,            0.002318,            0.002318
                  17,             0.03231,            0.031791,           0.0040061,             0.73506,             0.78671,             0.74655,             0.45257,            0.030835,            0.022275,           0.0021832,           0.0018594,           0.0018594,           0.0018594
                  18,            0.031683,            0.032354,           0.0035534,              0.7362,             0.79128,             0.75311,             0.46176,            0.030183,            0.021981,           0.0020267,           0.0014905,           0.0014905,           0.0014905
                  19,             0.03133,            0.031873,           0.0035949,             0.72344,             0.80983,              0.7522,             0.46867,            0.029698,            0.021675,           0.0019282,           0.0012202,           0.0012202,           0.0012202
