               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10735,             0.05001,             0.03672,            0.014703,            0.029509,           0.0042784,          0.00094436,            0.094497,            0.041476,            0.031782,             0.00059,             0.00059,             0.09469
                   1,            0.085168,            0.056129,            0.029607,             0.45487,             0.20012,            0.083758,            0.019221,            0.073803,            0.038605,            0.024382,           0.0011834,           0.0011834,            0.089283
                   2,            0.068848,            0.051462,            0.024863,             0.50493,             0.25243,             0.14558,            0.040563,            0.071484,            0.031743,            0.021923,           0.0017506,           0.0017506,            0.083851
                   3,            0.065692,            0.046075,            0.023252,             0.55731,             0.24842,             0.16676,            0.049013,              0.0655,            0.030813,            0.019317,           0.0022728,           0.0022728,            0.078373
                   4,            0.062426,            0.045327,            0.019994,             0.57565,             0.30697,             0.22015,            0.073563,            0.061805,            0.029699,            0.015941,            0.002733,            0.002733,            0.072833
                   5,            0.058561,            0.043332,            0.017327,             0.34613,             0.43508,              0.3383,             0.12695,            0.055235,            0.029591,            0.012933,           0.0031168,           0.0031168,            0.067217
                   6,             0.05531,            0.042946,             0.01468,             0.30072,             0.43733,             0.27422,             0.10312,            0.054232,            0.030102,            0.011432,           0.0034128,           0.0034128,            0.061513
                   7,             0.05296,            0.043005,            0.012785,              0.3992,              0.4859,             0.40297,              0.1794,            0.047159,            0.029534,            0.009955,           0.0036131,           0.0036131,            0.055713
                   8,            0.054371,            0.041054,            0.011762,             0.33426,             0.46071,             0.31876,             0.13272,            0.050783,            0.028602,           0.0098049,            0.003714,            0.003714,            0.049814
                   9,            0.053205,            0.041316,            0.011215,             0.47503,             0.51652,             0.44996,             0.21934,            0.043975,            0.028053,           0.0093741,           0.0037162,           0.0037162,            0.043816
                  10,            0.048031,            0.040287,            0.010312,             0.53446,             0.50539,             0.47501,             0.22823,            0.042638,            0.028128,           0.0088381,           0.0036245,           0.0036245,            0.037725
                  11,            0.047473,            0.040174,           0.0094021,             0.50274,             0.55415,             0.49741,             0.22123,             0.04489,            0.027215,            0.008064,           0.0034484,           0.0034484,            0.031548
                  12,            0.044886,            0.040557,           0.0089986,             0.56219,             0.54394,             0.52329,             0.26172,            0.041957,            0.027458,            0.007769,           0.0032012,           0.0032012,            0.025301
                  13,            0.042032,             0.03866,            0.008863,             0.48668,             0.53875,             0.48212,             0.20447,            0.046024,            0.027259,           0.0076595,           0.0029005,           0.0029005,               0.019
                  14,            0.043899,            0.037757,           0.0080733,             0.58697,             0.52804,             0.50887,             0.23949,             0.04359,             0.02707,           0.0080849,           0.0025666,           0.0025666,            0.012667
                  15,            0.042377,            0.038389,           0.0079025,              0.6042,              0.5334,             0.53045,             0.27518,            0.040282,            0.027138,           0.0076692,            0.002223,            0.002223,            0.006323
                  16,             0.03837,            0.038064,           0.0074341,             0.57201,             0.59328,             0.54494,             0.29198,             0.03942,            0.026979,           0.0073637,           0.0018594,           0.0018594,           0.0018594
                  17,            0.038354,            0.037551,           0.0068849,             0.62362,             0.54791,             0.54854,             0.28748,            0.039508,            0.027034,           0.0071815,           0.0018594,           0.0018594,           0.0018594
                  18,            0.036435,            0.037103,           0.0065942,             0.61909,             0.56296,             0.55479,             0.29303,            0.038808,            0.027191,           0.0072282,           0.0014905,           0.0014905,           0.0014905
                  19,            0.034963,            0.037989,           0.0065803,             0.67638,             0.55477,             0.57937,             0.31162,            0.037456,            0.026802,            0.006749,           0.0012202,           0.0012202,           0.0012202
